SiteA,SiteB,SiteC,Traffic,Site,Ranks
162,165,165,162,1,17
154,193,160,154,1,8
174,178,155,174,1,27
148,184,168,148,1,3.5
150,157,140,150,1,5.5
148,165,151,148,1,3.5
185,204,163,185,1,37.5
157,195,175,157,1,10.5
164,183,182,164,1,19.5
172,189,150,172,1,25
159,179,139,159,1,12.5
193,160,164,193,1,40.5
160,198,181,160,1,15
159,185,176,159,1,12.5
173,215,177,173,1,26
,,,165,2,22
,,,193,2,40.5
,,,178,2,31
,,,184,2,36
,,,157,2,10.5
,,,165,2,22
,,,204,2,44
,,,195,2,42
,,,183,2,35
,,,189,2,39
,,,179,2,32
,,,160,2,15
,,,198,2,43
,,,185,2,37.5
,,,215,2,45
,,,165,3,22
,,,160,3,15
,,,155,3,9
,,,168,3,24
,,,140,3,2
,,,151,3,7
,,,163,3,18
,,,175,3,28
,,,182,3,34
,,,150,3,5.5
,,,139,3,1
,,,164,3,19.5
,,,181,3,33
,,,176,3,29
,,,177,3,30
