distance,magnesiu,SRES1,FITS1
0,6.44,0.617946205,5.767774632
1820,8.61,2.965047615,5.309416925
2542,5.24,0.100216156,5.127584912
2889,5.73,0.612860018,5.040194734
3460,3.81,-0.960183485,4.8963913
4586,4.05,-0.492999574,4.612813949
6020,2.95,-1.130065384,4.251668371
6841,2.57,-1.275452157,4.044903714
7232,3.37,-0.497699248,3.94643236
10903,3.84,0.702355002,3.021909755
11098,2.86,-0.096856809,2.972800001
11922,1.22,-1.328384959,2.765279808
12530,1.09,-1.310298372,2.612158113
14065,2.36,0.116347924,2.225576201
14937,2.24,0.203458474,2.005967453
16244,2.05,0.327196761,1.676806177
17632,2.23,0.80066357,1.327245464
19002,0.42,-0.50572664,0.98221796
20860,0.87,0.327712862,0.514290147
22471,1.26,1.088463089,0.108568023
