TeamA,TeamB,TeamC,Time,Team,Ranks
25,25,30,25,1,14
22,30,35,22,1,7.5
18,24,32,18,1,4
30,26,26,30,1,22
24,22,37,24,1,10.5
15,15,43,15,1,2.5
29,32,36,29,1,20
23,36,40,23,1,9
10,20,35,10,1,1
20,28,25,20,1,5.5
35,35,45,35,1,28.5
25,25,33,25,1,14
,,,25,2,14
,,,30,2,22
,,,24,2,10.5
,,,26,2,17.5
,,,22,2,7.5
,,,15,2,2.5
,,,32,2,24.5
,,,36,2,31.5
,,,20,2,5.5
,,,28,2,19
,,,35,2,28.5
,,,25,2,14
,,,30,3,22
,,,35,3,28.5
,,,32,3,24.5
,,,26,3,17.5
,,,37,3,33
,,,43,3,35
,,,36,3,31.5
,,,40,3,34
,,,35,3,28.5
,,,25,3,14
,,,45,3,36
,,,33,3,26
