first name,last name,1999salary
Albert,Belle,11949794
Mike,Mussina,6523143
Cal,Ripken Jr.,6300000
Scott,Erickson,6079931
Brady,Anderson,5674897
Juan,Guzman,5250000
Will,Clark,4920840
dl-Delino,Deshields,4053092
B.J.,Surhoff,3605516
Charles,Johnson,3600000
dl-Scott,Kamieniecki,3350000
Mike,Bordick,3083333
Mike,Timlin,2250000
Arthur,Rhodes,2200000
Jeff,Conine,1960000
Harold,Baines,1500000
Heathcliff,Slocumb,1100000
Ricky,Bones,800000
Jesse,Orosco,800000
Lenny,Webster,760000
Mike,Fetters,750000
Jeff,Reboulet,525000
Rich,Amaral,500000
Doug,Johns,300000
Sidney,Ponson,250000
Jesse,Garcia,200000
Willis,Otanez,200000
