calif,newyork,texas,PAR,state,ranks
103.4499969,124.2300034,34033.32813,103.4499969,1,3
188.2899933,176.0800018,417.5,188.2899933,1,36
107.5500031,,416.0799866,107.5500031,1,7
139.7200012,168.9799957,564.7399902,139.7200012,1,24
101.1500015,110.8300018,127.6999969,101.1500015,1,2
104.9800034,,,104.9800034,1,4
,271.5599976,162.9400024,,1,
,107.1600037,381.5899963,,1,
118.8000031,,534.4799805,118.8000031,1,14
168.0200043,,335.1000061,168.0200043,1,31
1246.439941,118.1900024,261.9100037,1246.439941,1,64
140.1100006,232.7400055,145.6699982,140.1100006,1,25
,163.1499939,132.2899933,,1,
547.7700195,120.6500015,938.1300049,547.7700195,1,57
264.6300049,187.3600006,139.6199951,264.6300049,1,42
533.5900269,207.5299988,234.6300049,533.5900269,1,55
653.9299927,278.4500122,367.9299927,653.9299927,1,60
,474.4299927,219.1999969,,1,
122.1100006,123.5999985,115.6999969,122.1100006,1,16
109.1999969,,141,109.1999969,1,8
764.6099854,,293.7799988,764.6099854,1,61
112.5699997,,,112.5699997,1,10
277.9299927,,105.4100037,277.9299927,1,44
572.6599731,,100.2600021,572.6599731,1,59
378.8800049,,428.0799866,378.8800049,1,49
,,171.9199982,124.2300034,2,18
,,812.7700195,176.0800018,2,34
,,127.7399979,,2,
,,150.9100037,168.9799957,2,32
,,131.5899963,110.8300018,2,9
,,113.7300034,,2,
,,,271.5599976,2,43
,,,107.1600037,2,6
,,,,2,
,,,,2,
,,,118.1900024,2,13
,,,232.7400055,2,39
,,,163.1499939,2,30
,,,120.6500015,2,15
,,,187.3600006,2,35
,,,207.5299988,2,37
,,,278.4500122,2,45
,,,474.4299927,2,54
,,,123.5999985,2,17
,,,34033.32813,3,65
,,,417.5,3,52
,,,416.0799866,3,51
,,,564.7399902,3,58
,,,127.6999969,3,19
,,,,3,
,,,162.9400024,3,29
,,,381.5899963,3,50
,,,534.4799805,3,56
,,,335.1000061,3,47
,,,261.9100037,3,41
,,,145.6699982,3,27
,,,132.2899933,3,22
,,,938.1300049,3,63
,,,139.6199951,3,23
,,,234.6300049,3,40
,,,367.9299927,3,48
,,,219.1999969,3,38
,,,115.6999969,3,12
,,,141,3,26
,,,293.7799988,3,46
,,,,3,
,,,105.4100037,3,5
,,,100.2600021,3,1
,,,428.0799866,3,53
,,,171.9199982,3,33
,,,812.7700195,3,62
,,,127.7399979,3,20
,,,150.9100037,3,28
,,,131.5899963,3,21
,,,113.7300034,3,11
