Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Parallax,Sample
8.5,8.65,8.5,8.7,8.43,8.63,8.54,8.54,8.5,1
8.5,8.35,8.8,9.66,9.09,10.16,8.56,8.58,8.5,1
7.33,8.71,8.4,8.5,8.5,8.5,8.54,8.54,7.33,1
8.64,8.31,8.82,8.65,8.44,8.31,8.74,8.94,8.64,1
9.27,8.36,9.02,10.33,9.71,10.8,8.91,9.24,9.27,1
9.06,8.58,10.57,8.07,8.07,7.5,8.4,8.3,9.06,1
9.25,7.8,9.11,8.5,8.36,8.12,8.4,8.33,9.25,1
9.09,7.71,8.66,8.6,8.6,8.42,8.57,8.59,9.09,1
8.5,8.3,8.34,9.61,9.11,9.2,8.69,8.81,8.5,1
8.06,9.71,8.6,8.5,8.66,8.16,8.55,8.56,8.06,1
8.43,8.5,7.99,8.35,8.58,8.36,8.51,8.5,8.43,1
8.44,8.28,8.58,10.15,9.54,9.77,8.57,8.58,8.44,1
8.14,9.87,8.34,7.77,8.34,7.52,8.58,8.58,8.14,1
7.68,8.86,9.64,8.23,8.55,7.96,8.63,8.68,7.68,1
10.34,5.76,8.34,7.92,9.03,7.83,8.56,8.57,10.34,1
8.07,8.44,8.55,8.42,10.04,8.62,8.41,8.33,8.07,1
8.36,8.23,9.54,7.75,9.04,7.54,8.64,8.62,8.36,1
9.71,,9.07,8.23,8.71,8.28,8.43,8.37,9.71,1
,,,8.9,10.48,9.32,8.28,8.03,8.65,2
,,,7.35,8.31,6.96,8.7,8.85,8.35,2
,,,7.68,8.67,7.47,8.6,8.74,8.71,2
,,,,,,,,8.31,2
,,,,,,,,8.36,2
,,,,,,,,8.58,2
,,,,,,,,7.8,2
,,,,,,,,7.71,2
,,,,,,,,8.3,2
,,,,,,,,9.71,2
,,,,,,,,8.5,2
,,,,,,,,8.28,2
,,,,,,,,9.87,2
,,,,,,,,8.86,2
,,,,,,,,5.76,2
,,,,,,,,8.44,2
,,,,,,,,8.23,2
,,,,,,,,8.5,3
,,,,,,,,8.8,3
,,,,,,,,8.4,3
,,,,,,,,8.82,3
,,,,,,,,9.02,3
,,,,,,,,10.57,3
,,,,,,,,9.11,3
,,,,,,,,8.66,3
,,,,,,,,8.34,3
,,,,,,,,8.6,3
,,,,,,,,7.99,3
,,,,,,,,8.58,3
,,,,,,,,8.34,3
,,,,,,,,9.64,3
,,,,,,,,8.34,3
,,,,,,,,8.55,3
,,,,,,,,9.54,3
,,,,,,,,9.07,3
,,,,,,,,8.7,4
,,,,,,,,9.66,4
,,,,,,,,8.5,4
,,,,,,,,8.65,4
,,,,,,,,10.33,4
,,,,,,,,8.07,4
,,,,,,,,8.5,4
,,,,,,,,8.6,4
,,,,,,,,9.61,4
,,,,,,,,8.5,4
,,,,,,,,8.35,4
,,,,,,,,10.15,4
,,,,,,,,7.77,4
,,,,,,,,8.23,4
,,,,,,,,7.92,4
,,,,,,,,8.42,4
,,,,,,,,7.75,4
,,,,,,,,8.23,4
,,,,,,,,8.9,4
,,,,,,,,7.35,4
,,,,,,,,7.68,4
,,,,,,,,8.43,5
,,,,,,,,9.09,5
,,,,,,,,8.5,5
,,,,,,,,8.44,5
,,,,,,,,9.71,5
,,,,,,,,8.07,5
,,,,,,,,8.36,5
,,,,,,,,8.6,5
,,,,,,,,9.11,5
,,,,,,,,8.66,5
,,,,,,,,8.58,5
,,,,,,,,9.54,5
,,,,,,,,8.34,5
,,,,,,,,8.55,5
,,,,,,,,9.03,5
,,,,,,,,10.04,5
,,,,,,,,9.04,5
,,,,,,,,8.71,5
,,,,,,,,10.48,5
,,,,,,,,8.31,5
,,,,,,,,8.67,5
,,,,,,,,8.63,6
,,,,,,,,10.16,6
,,,,,,,,8.5,6
,,,,,,,,8.31,6
,,,,,,,,10.8,6
,,,,,,,,7.5,6
,,,,,,,,8.12,6
,,,,,,,,8.42,6
,,,,,,,,9.2,6
,,,,,,,,8.16,6
,,,,,,,,8.36,6
,,,,,,,,9.77,6
,,,,,,,,7.52,6
,,,,,,,,7.96,6
,,,,,,,,7.83,6
,,,,,,,,8.62,6
,,,,,,,,7.54,6
,,,,,,,,8.28,6
,,,,,,,,9.32,6
,,,,,,,,6.96,6
,,,,,,,,7.47,6
,,,,,,,,8.54,7
,,,,,,,,8.56,7
,,,,,,,,8.54,7
,,,,,,,,8.74,7
,,,,,,,,8.91,7
,,,,,,,,8.4,7
,,,,,,,,8.4,7
,,,,,,,,8.57,7
,,,,,,,,8.69,7
,,,,,,,,8.55,7
,,,,,,,,8.51,7
,,,,,,,,8.57,7
,,,,,,,,8.58,7
,,,,,,,,8.63,7
,,,,,,,,8.56,7
,,,,,,,,8.41,7
,,,,,,,,8.64,7
,,,,,,,,8.43,7
,,,,,,,,8.28,7
,,,,,,,,8.7,7
,,,,,,,,8.6,7
,,,,,,,,8.54,8
,,,,,,,,8.58,8
,,,,,,,,8.54,8
,,,,,,,,8.94,8
,,,,,,,,9.24,8
,,,,,,,,8.3,8
,,,,,,,,8.33,8
,,,,,,,,8.59,8
,,,,,,,,8.81,8
,,,,,,,,8.56,8
,,,,,,,,8.5,8
,,,,,,,,8.58,8
,,,,,,,,8.58,8
,,,,,,,,8.68,8
,,,,,,,,8.57,8
,,,,,,,,8.33,8
,,,,,,,,8.62,8
,,,,,,,,8.37,8
,,,,,,,,8.03,8
,,,,,,,,8.85,8
,,,,,,,,8.74,8
