waterph,code,elev,SRES1,FITS1
7.91,low,0.244,1.126633048,7.47495079
7.14,low,0.375,-0.550780058,7.355330467
6.81,low,0.567,-0.938642919,7.180009365
6.97,low,0.512,-0.66095084,7.230231285
7.21,low,0.408,-0.293997109,7.32519722
6.94,low,0.512,-0.737145901,7.230231285
6.59,low,0.506,-1.640317798,7.235710144
6.94,low,0.488,-0.793453813,7.252146721
6.94,low,0.488,-0.793453813,7.252146721
8.43,low,0.232,2.448361874,7.485908508
7.09,low,0.567,-0.228336096,7.180009365
7.06,low,0.561,-0.318365932,7.185487747
7.17,low,0.448,-0.302184194,7.28867197
6.87,low,0.561,-0.800401151,7.185487747
7.1,low,0.488,-0.386745989,7.252146721
7.08,high,0.61,-0.154050797,7.140744209
6.7,high,1.036,-0.134993076,6.751749992
7.27,low,0.503,0.080156341,7.238449574
7.03,low,0.457,-0.637471735,7.280453682
6.83,low,0.436,-1.196602345,7.299629688
6.94,low,0.543,-0.664724469,7.201924324
7,high,0.607,-0.363883168,7.143483639
6.9,high,1.03,0.372123748,6.757228851
6.8,high,0.96,-0.054652259,6.821148396
7.23,high,0.61,0.226357549,7.140744209
6.58,high,1.298,0.184919164,6.512509823
6.93,low,0.433,-0.948938727,7.302368641
6.8,low,0.579,-0.936082184,7.169051647
6.63,high,0.732,-1.015003324,7.029342175
8.02,low,0.305,1.545719266,7.419249535
8.18,low,0.28,1.903407454,7.442078114
6.58,low,0.43,-1.848159909,7.30510807
7.24,low,0.442,-0.137931541,7.294150829
6.89,low,0.511,-0.866484821,7.231144428
7.44,high,0.683,0.928704798,7.074085712
6.77,high,0.838,-0.415494621,6.93255043
6.75,high,0.902,-0.318870425,6.874109745
7.15,low,0.596,-0.008947812,7.153528214
6.91,low,0.485,-0.876775742,7.25488615
7.06,low,0.549,-0.346237034,7.196445465
7.23,high,0.853,0.796184957,6.918853283
7.02,high,0.732,-0.023744952,7.029342175
7.08,high,0.78,0.240669101,6.985512257
6.38,low,0.549,-2.071768999,7.196445465
7.04,low,0.436,-0.661528647,7.299629688
6.83,high,0.89,-0.141332418,6.885067463
6.78,high,0.853,-0.35530737,6.918853283
6.72,high,0.951,-0.282354355,6.829366207
7.43,high,0.853,1.30795908,6.918853283
7.08,high,0.884,0.485987961,6.890546322
6.96,high,0.829,0.049126785,6.940768719
7.03,high,0.936,0.481864601,6.843063354
8.28,low,0.415,2.452029705,7.318805218
7.03,high,0.671,-0.139668301,7.08504343
8.38,low,0.427,2.733168602,7.3078475
7.03,low,0.329,-0.943062901,7.397334576
6.63,high,1.009,-0.380548626,6.776404858
6.97,high,0.652,-0.335840136,7.102392673
6.86,high,0.689,-0.529524207,7.068606853
6.87,high,0.732,-0.404998571,7.029342175
7.39,high,0.661,0.750510156,7.094174862
7.85,high,0.622,1.826530576,7.129786968
7.67,low,0.597,1.312156439,7.15261507
8.2,low,0.5,2.436180115,7.241189003
7.97,high,0.622,2.130861998,7.129786968
7.34,high,0.671,0.646934748,7.08504343
7.36,high,0.914,1.277951479,6.863152504
7.23,low,0.268,-0.576035082,7.453035831
6.92,high,0.661,-0.4418827,7.094174862
7.08,high,0.646,-0.070696853,7.107871532
7.32,low,0.549,0.313525945,7.196445465
7.4,low,0.427,0.234918594,7.3078475
6.95,low,0.427,-0.912237763,7.3078475
7.08,low,0.552,-0.288518697,7.193706036
7.2,low,0.445,-0.232804254,7.2914114
