State,1973-74,1983-84,1993-94
Alabama,9226,18000,27000
Alaska,15667,36564,44700
Arizona,10414,21605,31200
Arkansas,7820,16929,26600
California,13113,26403,40200
Colorado,10131,22895,33100
Connecticut,11030,22624,47000
Delaware,11304,20925,34500
District of Columbia,,27659,41300
Florida,10018,19545,31100
Georgia,9392,18505,29500
Hawaii,11112,24357,34500
Idaho,8383,18640,26300
Illinois,11871,23345,36500
Indiana,10508,21587,34800
Iowa,9863,20140,29200
Kansas,8894,19598,30700
Kentucky,8295,19780,30900
Louisiana,9166,19100,27000
Maine,9238,17328,30100
Maryland,11741,24095,39500
Massachusetts,11121,22500,37300
Michigan,12545,28877,41100
Minnesota,11122,24480,33700
Mississippi,7604,15895,24400
Missouri,9530,19300,28900
Montana,9429,20657,27600
Nebraska,9174,18785,27200
Nevada,11549,23000,33900
New Hampshire,9613,17376,33200
New Jersey,11920,23044,41000
New Mexico,9100,20760,26700
New York,13371,26750,43300
North Carolina,10223,18014,29200
North Dakota,8493,20363,24500
Ohio,10107,21421,33300
Oklahoma,8238,18490,25300
Oregon,10180,22833,34100
Pennsylvania,10921,22800,38700
Rhode Island,11407,24641,36000
South Carolina,8654,17500,28300
South Dakota,8150,16480,23300
Tennessee,8840,17900,28600
Texas,8920,20100,29000
Utah,9146,20256,26500
Vermont,8932,17931,33600
Virginia,9919,19867,31900
Washington,11295,24780,34800
West Virginia,8467,17482,27400
Wisconsin,10830,23000,35200
Wyoming,9668,24500,30400
