county,months,populat,torts,rate
"maricopa, az",11,2209567,9914,449
"pima, az",17,690202,3346,485
"alameda, ca",22,1307572,3258,249
"contra costa, ca",15,840585,2469,294
"fresno, ca",42,705613,2364,335
"los angeles, ca",12,3485398,21954,630
"orange, ca",21,2484789,18297,736
"san bernadino, ca",30,1534343,7583,494
"san francisco, ca",21,728921,3467,476
"santa clara, ca",20,1528527,5148,337
"ventura, ca",22,686560,1917,279
"fairfield, ct",23,267099,2303,862
"hartford, ct",19,858831,4184,487
"dade, fl",13,2007972,7122,355
"orange, fl",15,714579,1700,238
"palm beach, fl",14,900655,4194,466
"fulton, ga",13,665765,1470,221
"honolulu, hi",16,863117,1795,208
"cook, il",34,5139341,20573,400
"dupage, il",16,816116,1884,231
"marion, in",14,812835,1725,212
"jefferson, ky",14,670837,1543,230
"essex, ma",28,669984,1843,275
"middlesex, ma",27,1394408,5735,411
"norfolk, ma",19,620957,1733,279
"suffolk, ma",22,639192,5023,786
"worchester, ma",24,708164,1673,236
"oakland, mi",12,1118611,5279,472
"wayne, mi",12,2096179,16739,799
"hennepin, mn",13,1041332,2485,239
"st. louis, mo",21,1000690,1684,168
"bergen, nj",20,834983,6830,818
"essex, nj",21,773420,10544,1363
"middlesex, nj",19,684456,7080,1034
"new york, ny",25,1489066,9150,614
"cuyahoga, oh",12,1411209,9589,679
"franklin, oh",16,992095,3951,398
"allegheny, pa",20,1334396,5430,407
"philadelphia, pa",24,1552572,18283,1178
"bexar, tx",18,1233096,3087,250
"dallas, tx",13,1913395,6411,335
"harris, tx",23,2971755,11483,386
"fairfax, va",16,877531,3370,384
"king, wa",13,1557537,5057,325
"milwaukee, wi",10,951884,3234,340
