State,percent,test
Alabama,18,253
Alaska,,
Arizona,12,258
Arkansas,20,256
California,11,256
Colorado,9,267
Connecticut,12,270
Delaware,18,262
Florida,19,255
Georgia,17,258
Hawaii,23,252
Idaho,7,272
Illinois,14,261
Indiana,11,267
Iowa,8,278
Kansas,,
Kentucky,14,256
Louisiana,19,246
Maine,,
Maryland,19,261
Massachusetts,,
Michigan,14,264
Minnesota,7,276
Mississippi,,
Missour,,
Montana,6,279
Nebraska,9,276
Nevada,,
New Hampshire,7,273
New Jersey,13,270
New Mexico,11,256
New York,17,261
North Carolina,21,251
North Dakota,6,281
Ohio,11,264
Oklahoma,14,263
Oregon,9,272
Pennsylvania,10,262
Rhode Island,12,261
South Carolina,,
South Dakota,,
Tennessee,,
Texas,15,258
Utah,,
Vermont,,
Virginia,16,264
Washington,,
West Virginia,16,256
Wisconsin,8,274
Wyoming,7,272
DC,33,233
Vir Is,27,218
Guam,20,233
