Gender,Major,Class,GPA,SAT,Drops
Female,Physics,Sophomore,3.1,1230,0
Female,Biology,Sophomore,1.9,870,1
Male,Psychology,Senior,3.2,1180,4
Female,Psychology,Sophomore,2.6,1190,2
Female,Music,Senior,2.8,770,4
Male,English,Freshman,2.1,850,0
Male,Physics,Sophomore,3.4,1440,0
Female,History,Junior,2.7,920,2
Female,Geology,Freshman,2.8,990,0
Male,English,Sophomore,3.3,1060,3
Female,Sociology,Freshman,2,920,1
Male,Chemistry,Sophomore,1.8,790,2
Female,Accounting,Sophomore,3.2,1070,1
Male,Sociology,Senior,3.2,900,4
Male,Music,Senior,2.4,930,4
Male,Geology,Junior,3.1,890,1
Male,History,Senior,3.1,1190,1
Female,History,Sophomore,3.3,1100,1
Female,Accounting,Junior,3,950,2
Male,Psychology,Senior,1.8,990,4
Male,Accounting,Freshman,3.5,950,0
Male,History,Junior,2.8,860,1
Male,Accounting,Freshman,3.8,1150,0
Female,Sociology,Junior,2.7,910,2
Female,Math,Senior,3.9,1280,2
Male,Psychology,Sophomore,2.8,1090,0
Female,Sociology,Junior,2.9,1310,1
Female,Math,Freshman,2.7,650,1
Female,Chemistry,Senior,3,1220,2
Male,Math,Junior,3,1020,1
Female,History,Junior,2.4,820,4
Female,Psychology,Freshman,3.2,1110,0
Male,Physics,Freshman,2.7,1010,1
Female,Biology,Sophomore,2.6,1270,1
Female,English,Sophomore,3.3,1160,2
Male,English,Sophomore,2.3,1080,1
Female,Biology,Freshman,2.6,950,0
Female,Psychology,Freshman,3.4,1060,1
Male,Chemistry,Sophomore,2.4,1100,0
Male,Sociology,Sophomore,2.7,780,2
Male,Psychology,Senior,2.8,1460,1
Male,History,Freshman,3,800,0
Male,Accounting,Junior,3.1,1150,2
Female,Sociology,Sophomore,2.8,1110,2
Male,Music,Freshman,3.7,1070,0
Female,Sociology,Freshman,2.8,990,1
Female,Sociology,Sophomore,3.5,1290,0
Female,Accounting,Junior,2.5,1230,3
Male,Physics,Junior,2.9,1040,3
Male,Biology,Freshman,2.1,1080,2
Female,Biology,Senior,2.2,830,4
Female,Geology,Sophomore,3,1010,1
Female,English,Freshman,2.6,1080,0
Female,English,Sophomore,2.5,850,2
Male,History,Freshman,2.7,1110,0
Female,Accounting,Freshman,2,930,1
Female,History,Junior,2.7,1300,3
Female,English,Junior,2.7,1030,3
Female,Geology,Freshman,2.5,930,2
Male,Biology,Junior,3.5,1200,3
Male,Chemistry,Sophomore,2.5,1140,1
Female,Biology,Sophomore,2.9,950,2
Male,Geology,Sophomore,3.2,1000,2
Female,Accounting,Sophomore,2.7,890,3
Male,History,Junior,2.6,1070,3
Female,Biology,Junior,1.7,920,3
Male,Accounting,Sophomore,2.9,1020,2
Male,Math,Freshman,2,1070,1
Male,Math,Freshman,3.3,1400,0
Male,Psychology,Freshman,3.2,910,1
Male,English,Junior,2,1240,3
Female,Math,Sophomore,3.8,1300,2
Male,Psychology,Senior,2.5,1240,1
Female,Math,Junior,2.8,920,3
Female,Psychology,Freshman,3.3,1060,1
Female,Psychology,Senior,3.5,1020,0
Female,Physics,Freshman,2.3,930,0
Male,History,Senior,2,1120,3
Male,History,Freshman,2.9,1320,0
Female,Accounting,Sophomore,1.9,1020,2
Female,Music,Senior,2.4,870,3
Male,Psychology,Junior,2.1,800,3
Male,Music,Junior,2,1120,3
Male,Geology,Freshman,1.4,1140,1
Female,Sociology,Senior,2.1,750,4
Female,Accounting,Sophomore,3.8,1200,2
Male,Biology,Senior,2,970,4
Male,Geology,Senior,3.6,1360,2
Female,Biology,Junior,3.1,1250,0
Male,Music,Freshman,2.9,1100,0
Male,Accounting,Junior,1.8,790,3
Female,Math,Junior,1.7,970,3
Male,Chemistry,Freshman,2.2,1170,1
Female,Sociology,Sophomore,3.3,880,2
Female,Psychology,Freshman,1.5,880,2
Male,Psychology,Senior,2.1,1200,1
Female,Biology,Freshman,2.3,1050,1
Female,Music,Sophomore,2.5,1260,2
Male,Psychology,Freshman,2.5,840,1
Female,Psychology,Freshman,2.7,1260,1
